2;0101;005;0646;MONITOR, MARCA: LENOVO,MODELO: 5047-HC2,SERIAL: VNC35WN, COLOR: NEGRO;LENOVO;5047-HC2;;;NEGRO;MALO
2;0101;005;0675;MONITOR, MARCA: HP,SERIAL: CNC05007N5;HP;;;;;BUENO
2;0101;007;0470;TECLADO,SERIAL: 20100466222703;;;;;;MALO
2;0101;007;0472;TECLADO,SERIAL: 20100466222714;;;;;;MALO
2;0101;007;0519;TECLADO, MARCA: GENIUS,MODELO: GK-070008/U,SERIAL: ZCE078402530, COLOR: NEGRO;GENIUS;GK-070008/U;;;NEGRO;BUENO
2;0101;008;0618;UPS,SERIAL: E1211035520, MATERIAL: PLASTICO, COLOR: NEGRO;;;;PLASTICO;NEGRO;BUENO
2;0101;009;0140;COMPUTADOR, MARCA: DELL CENTRINO ,SERIAL: 35169001597, COLOR: PLATEADO;DELL CENTRINO;;;;PLATEADO;BUENO
2;0101;010;0372;SCANER OCR,MODELO: DESKJET F 4280,SERIAL: CN88C2C1FK;;DESKJET F 4280;;;;BUENO
2;0101;010;0476;BAQUELA DE MEMORIA;;;;;;BUENO
2;0101;010;0544;BAQUELA DE MEMORIA,SERIAL: PS061-1510189;;;;;;BUENO
2;0101;010;0560;DISCO DURO, MARCA: SEAGATE,SERIAL: Z2A8VQ7Z;SEAGATE;;;;;BUENO
2;0101;010;0601;DISCO DURO, MARCA: HITACHI,SERIAL: FL2YR51K, MATERIAL: METAL;HITACHI;;;METAL;;BUENO
2;0101;010;0620;TARJETA MADRE, MARCA: ELITEGROUP,SERIAL: 15-ET1-0011000, MATERIAL: METAL/ACRALICO;ELITEGROUP;;;METAL/ACRALICO;;MALO
2;0101;011;0663;FUENTE DE PODER, MARCA: POWER SUPPLY,MODELO: ATX-550JM, COLOR: GRIS;POWER SUPPLY;ATX-550JM;;;GRIS;MALO
2;0101;015;0480;CARGADOR DE BATERIA , MARCA: DELL,MODELO: pa-1650-05d,SERIAL: CN-050092-94532-727-60432, COLOR: NEGRO;DELL;pa-1650-05d;;;NEGRO;MALO
2;0101;016;0481;BATERIA PARA CARGADOR LAPTO,SERIAL: S/S;;;;;;BUENO
2;0305;046;0566;CONSOLA PASIVA;;;;;;BUENO
