grupo;subgrupo;seccion;ident;description;model;serial;color;status
2;0002;118;0414;PULIDORA, MARCA: YUPI,MODELO: UF522,SERIAL: MO522-58, COLOR: AZUL CON GRIS;UF522;;AZUL CON GRIS;BUENO
2;0001;037;0415;ENFRIADOR, MARCA: FRIGILUX,SERIAL: *20080703161, COLOR: BLANCO CON AZUL;;;BLANCO CON AZUL;BUENO
2;0101;008;0426;UPS,MODELO: AITEG650 LCD,SERIAL: N. DE BARRA *221009301253*;AITEG650 LCD;;;MALO
2;0101;008;0427;UPS,MODELO: AITEG650 LCD,SERIAL: N. DE BARRA *221009301259*;AITEG650 LCD;;;BUENO
2;0101;008;0430;UPS,MODELO: IATEG650 LCD,SERIAL: N. DE BARRA *221009301508*;IATEG650 LCD;;;MALO
2;0101;008;0432;UPS, MARCA: AITEG,MODELO: AITEG650 LCD,SERIAL: N. DE BARRA *221009301506*, COLOR: NEGRO;AITEG650 LCD;;NEGRO;MALO
2;0001;105;0434;SUMADORA , MARCA: CASIO,MODELO: DR-120TM,SERIAL: 696AQ06RA083182;DR-120TM;;;BUENO
2;0001;105;0435;SUMADORA , MARCA: CASIO,MODELO: DR-120TM,SERIAL: 696AQ06RA083183;DR-120TM;;;MALO
2;0001;108;0437;TELEFONO INALAMBRICO, MARCA: PANASONIC,MODELO: KX-TG9333T,SERIAL: 01CXB078920;KX-TG9333T;;;BUENO
2;0101;001;0450;COMPUTADOR CPU,SERIAL: 003067A5943D;;;;BUENO
2;0101;001;0451;COMPUTADOR CPU,SERIAL: 003067A594AE;;;;BUENO
2;0101;005;0456;MONITOR , MARCA: ACER,MODELO: V183HL,SERIAL: ETLKF0D001043033F38501;V183HL;;;BUENO
2;0005;003;0461;ANTENA,SERIAL: NW122NXT1209209203962;;;;MALO
2;0005;003;0462;ANTENA,SERIAL: NW122NXT1209209203963;;;;BUENO
2;0101;004;0466;MOUSE, MARCA: S/M,MODELO: ID010GNK94,SERIAL: MX034410MOU98321146;ID010GNK94;;;BUENO
2;0101;004;0467;MOUSE, MARCA: S/M,MODELO: ID010GNK94,SERIAL: MX034410MOU98321159;ID010GNK94;;;BUENO
2;0101;007;0471;TECLADO,SERIAL: 20100466222706;;;;REGULAR
2;0001;042;0482;ESCRITORIO, MATERIAL: FORMICA, COLOR: CHERRY CON NEGRO;;;CHERRY CON NEGRO;BUENO
2;0001;102;0492;SILLA CON BRAZOS, BASE DE NYLON Y SISTEMA NEUMATICO,MODELO: BRUSELA ERGONOMICA, MATERIAL: TELA, COLOR: NEGRO;BRUSELA ERGONOMICA;;NEGRO;BUENO
2;0001;102;0494;SILLA CON BRAZOS, BASE DE NYLON Y SISTEMA NEUMATICO,MODELO: BRUSELA ERGONOMICA, MATERIAL: TELA, COLOR: NEGRO;BRUSELA ERGONOMICA;;NEGRO;REGULAR
2;0001;114;0498;PORTA CPU, COLOR: BLANCO;;;BLANCO;REGULAR
2;0001;114;0500;PORTA CPU, COLOR: BLANCO;;;BLANCO;BUENO
2;0001;115;0503;CLOSET, MATERIAL: MADERA/FORMICA;;;;BUENO
2;0002;148;0543;VAGON MOVIL,SERIAL: 8163;;;;BUENO
2;0005;039;0547;GPS,MODELO: INGEOMAPS,SERIAL: CF110600052768;INGEOMAPS;;;BUENO
2;0001;039;0549;ASPIRADORA, MARCA: SAMURAI 1600 W,MODELO: SG2555WA,SERIAL: REF: SG2555WA/4Q0-3111R;SG2555WA;;;BUENO
2;0101;004;0553;MOUSE, MARCA: MAXELL,MODELO: MOWR-101,SERIAL: 021354041AC05450, COLOR: NEGRO CON GRIS;MOWR-101;;NEGRO CON GRIS;BUENO
2;0305;016;0558;CAMARA DIGITAL, MARCA: SAMSUM,SERIAL: 8733C90B900394X;;;;BUENO
2;0101;007;0563;TECLADO, MARCA: GENIUS,MODELO: GK-070008/U,SERIAL: ZCE171000131, COLOR: NEGRO;GK-070008/U;;NEGRO;BUENO
2;0101;009;0565;COMPUTADOR PORTATIL, MARCA: SAMSUNG,MODELO: CODE NP-R440JA09VE,SERIAL: BZF293HB400125H;CODE NP-R440JA09VE;;;BUENO
2;0001;100;0577;SACAPUNTA, MARCA: X ACTO,MODELO: 18XXXCN,SERIAL: S/S, COLOR: NEGRO;18XXXCN;;NEGRO;MALO
2;0001;100;0578;SACAPUNTA, MARCA: X ACTO,MODELO: 18XXXCN ,SERIAL: S/S, COLOR: DORADO;18XXXCN;;DORADO;BUENO
2;0101;003;0579;IMPRESORA MULTIFUNCIONAL, MARCA: HP LASERJET 1536DNF MFP,SERIAL: CNC9C54D8D, COLOR: NEGRO;;;NEGRO;REGULAR
2;0101;003;0580;IMPRESORA MULTIFUNCIONAL, MARCA: HP LASERJET PROCM1415,SERIAL: CNH8C9H1H6, COLOR: BLANCO CON NEGRO;;;BLANCO CON NEGRO;BUENO
2;0001;116;0581;CAJA PARA RESGUARDO DE FECTIVO, MATERIAL: METAL, COLOR: ANARANJADO;;;ANARANJADO;BUENO
2;0001;073;0582;MESA, MATERIAL: METAL, COLOR: NEGRA;;;NEGRA;BUENO
